player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr,rank_confidence
FLYDOM,7484.11,['Team Mochi'],99,True,6600.0,0.99
@CrasheroniDota,7482.15,"['Dark Horse Tempest ', 'Max Retaliate']",39,True,7400.0,0.39
lysergic acid diethylamide,7471.34,"['Island in the Winter Sun', 'Conquerors of the Island in the Sun', 'Dually Truck RoadRunners']",29,True,8000.0,0.29
Potatoes~~~~,7466.93,['Wasted.Creature'],20,True,7300.0,0.2
Peter Buttermilk,7466.87,['New Rebellion'],20,False,7000.0,0.2
kden,7462.11,"['Baja Blasters', 'beignet boys', 'Soy Sauce: Revolution']",51,True,7400.0,0.51
Egotistical Confidence,7459.62,"['Simple Chemistry', 'dXo-Rejects', 'The Rejects', 'Scion and the 4 plebs', 'SpookyScarySkeletons', 'good for ducks, good for me']",101,True,8000.0,1.0
pookah,7457.21,"['dXo-Warrior', 'beignet boys', 'Grillin and Chillin']",47,True,8000.0,0.47
captainlittledinky,7454.66,"['Nocturnal Rainbow', 'Salt the Earth']",32,True,7400.0,0.32
JuicyPanda,7449.98,"['Heroes of Golf?', 'Waist of Time', 'Daggers in my coco', 'Highly Regarded Individuals', 'Plinks of Golf?']",71,True,8000.0,0.71
Marooniii,7449.19,"['Dually Truck Hentai Warriors', 'Dually Truck Diesel Drinkers', 'Dually Truck RoadRunners', 'Radiance invoker']",38,True,8000.0,0.38
MAQ-IQ,7444.63,"['Dually Truck Hentai Warriors', 'Golf Wrensday?', 'dXo-Heroic - Mantle of Midas']",45,True,8000.0,0.45
we dont drink 32s,7440.86,"['Sounding Club', 'tainted gluggers', 'mosin on valley', '#Packwatch']",27,True,7200.0,0.27
waffz,7439.62,"['Flex Offenders', 'Glizzy Gobblers']",37,True,7400.0,0.37
Icarus,7439.22,"['Does This Game have Fall Damage?', 'Plinks of Golf?']",66,True,6600.0,0.66
KayceeMJ,7439.2,"['Dark Horse Tempest ', 'GRIN Scythe', 'GRIN Prism', 'Nameless']",77,True,7200.0,0.77
Erock,7423.73,"['Heroes of Golf?', 'Ensō', 'Does This Game have Fall Damage?', 'Highly Regarded Individuals', 'Plinks of Golf?']",58,True,8000.0,0.58
K1ra,7421.16,"['Ensō', '1-800-QQ']",35,False,7069.2307692307695,0.35
Fav,7416.45,"['Ensō', 'dXo-Champion', 'Digital Habitat']",74,True,8000.0,0.74
PizzaJr,7410.97,"['Grillin and Chillin', 'Ensō', 'Soy Sauce: Revolution', 'Foebe Phighters']",53,True,8000.0,0.53
Edge Tember,7409.91,"['Heroes of Golf?', 'Comrades of Golf?', 'Golf Monday?', 'Highly Regarded Individuals']",97,True,8000.0,0.97
Rusty Shackleford,7407.8,"['Heroes of Golf?', 'Golf Monday?', 'Highly Regarded Individuals', 'Plinks of Golf?']",98,True,7500.0,0.98
Bernie Sanders,7385.06,"['Golf Monday?', 'Comrades of Golf?', 'Los Animales de Golf?', 'Highly Regarded Individuals', 'Batchesters of Golf?']",89,True,7200.0,0.89
TornadO,7384.92,['Team Mochi'],65,False,6054.545454545455,0.65
yoshi,7359.57,"[""Chicken Joe's Reincarnation Cult"", 'GRIN Scythe', 'GRIN Prism']",40,True,8000.0,0.4
Ouchkabibbles,7351.01,"[""Helmet's On"", 'Helmets On']",85,True,7400.0,0.85
Stretchy Arms,7348.43,['Helmets On'],87,True,7100.0,0.87
Morning,7347.84,"['animal enclosure', 'Dota Under the Influence', 'GRIN Fury']",21,True,8000.0,0.21
Radiofoot,7346.65,"['Island in the Winter Sun', 'Helmets On', 'Team Samsara']",91,True,7500.0,0.91
Big Red,7346.46,"['Does This Game have Fall Damage?', 'Ensō']",76,True,7300.0,0.76
Merc-Ury,7341.37,"['Does This Game have Fall Damage?', 'Ensō']",74,True,7400.0,0.74
"JerBear, Today's Word: 得閒飲茶",7340.81,"['Dark Horse Tempest ', 'Jason Vas Foundation Picks for the Cure', 'Max Retaliate']",23,True,7300.0,0.23
Sync,7340.46,['Calamity Crew'],37,True,8000.0,0.37
Dr. Changsteen,7334.02,"['DinoMight', ""Helmet's On"", 'Helmets On']",91,True,6200.0,0.91
dnjiii,7310.07,"['WAP', 'GRIN Fury', 'Dually Truck RoadRunners']",41,True,8000.0,0.41
please immortal,7307.26,"['The Whimsical Afrasians', 'Sounding Club', 'I am > I was', 'Team Samsara', 'Does This Game have Fall Damage?']",37,False,7078.571428571428,0.37
Someoneskid,7293.05,['SMD9813'],25,True,7400.0,0.25
Urbow,7290.6,"['The Whimsical Afrasians', 'Sounding Club', ""Harambe's Homies"", 'Los Animales de Golf?', 'Nocturnal Rainbow', 'Digital Habitat', 'Team Ligma']",93,True,7200.0,0.93
Son,7256.42,"['I am > I was', 'beignet boys', 'Scion and the 4 plebs', '10toes', 'Savage Spirits']",39,True,7300.0,0.39
C0re,7254.08,"['Heroes of Golf?', 'GOOD TWINK HUNTING', 'Twinks and The Twinker', 'Coked up (cute) Kobolds', ""Harambe's Homies"", 'Simple Chemistry', 'DinoMight', 'Slow Twitch Muscle Fibers', 'Jukes Angels']",54,True,7400.0,0.54
pG,7251.3,['Zealous Gaming'],36,True,8000.0,0.36
I Am Steve,7240.82,"['WAP', 'texts go green']",28,True,7400.0,0.28
Hartrun7,7230.91,"['Gucci Coffin', 'PSGS', 'mosin on valley', ""Harambe's Homies""]",31,True,7200.0,0.31
Thugpot@to01,7226.75,"['Coked up (cute) Kobolds', 'Does This Game have Fall Damage?', 'dXo-Champion', '1-800-QQ']",40,True,7100.0,0.4
JzaR,7186.7,"['sheeesh', 'SMD9813', 'Aogiri Tree', 'DinoMight', ""Daddy's ENGORGED Dictatorship""]",95,True,8000.0,0.95
Black-up,7179.47,"['Golf Monday?', ""Helmet's On"", 'Rats and Bunnies', 'Helmets On']",113,True,5500.0,1.0
Ctrl-,7174.75,"['Ape Express', 'Ensō']",29,True,7200.0,0.29
4thwrldmrshl,7165.38,"['Conquerors of the Island in the Sun', 'Ensō', 'The Bathtub Club', 'dXo-Rejects', 'The Rejects']",81,True,8000.0,0.81
Abmis,7155.79,['GRIN Scythe'],48,True,7100.0,0.48
Russ,7154.85,['SpookyScarySkeletons'],21,True,7200.0,0.21
Lorenzo,7153.67,"['Coked up (cute) Kobolds', 'Average Krill Eaters', 'Ape Express', 'Team Krill Eater']",54,True,8000.0,0.54
JDFM,7151.75,"['Island in the Winter Sun', 'Conquerors of the Island in the Sun', 'Dually Truck RoadRunners']",28,True,7100.0,0.28
Aynek,7150.53,['SpookyScarySkeletons'],23,True,7200.0,0.23
Welshy,7149.93,['Pot Of Greed'],20,True,7400.0,0.2
Profanity,7144.91,['The Rejects'],20,True,7100.0,0.2
Plate,7119.65,"[""'Nanner Grippers"", 'GRIN Prism', 'Sounding Club', 'Savage Spirits']",20,True,7300.0,0.2
Last Son of Krypton,7119.04,['Savage Spirits'],79,True,7500.0,0.79
Gift,7115.81,"['mosin on valley', 'Savage Spirits']",20,True,7100.0,0.2
Khalsa GM,7112.43,['SpookyScarySkeletons'],23,True,7100.0,0.23
Achilles,7101.17,['7dark Thirty'],33,True,7400.0,0.33
printer,7095.02,['Savage Spirits'],90,True,8000.0,0.9
GlHf,7079.47,"['beignet boys', 'Grillin and Chillin', 'Cerviche Molotov']",32,False,6825.0,0.32
라일리,7078.29,"['DinoMight', 'Savage Saints', 'Savage Spirits']",95,True,7100.0,0.95
Lapsed Pacifist,7070.75,"['Jackson 5', 'Savage Spirits']",90,True,6400.0,0.9
Slave to Winning,7069.2,"['Crime Time', 'The Whimsical Afrasians', 'Golf Monday?', ""Brit I'm a Dog, Woof! Brrr"", 'Coked up (cute) Kobolds', 'Los Animales de Golf?', 'Waist of Time', 'Waist of Golf?', 'Daggers in my coco', 'Golf Tuesday?']",92,True,6300.0,0.92
phoenix,7068.5,"['GRIN Scythe', 'GRIN Prism']",60,True,7400.0,0.6
Time's,7067.1,['dXo-Rejects'],22,True,7300.0,0.22
Chubbs,7064.68,"['Dually Truck Hentai Warriors', 'GRIN Scythe', 'Dually Truck RoadRunners']",39,True,7500.0,0.39
Beejack Honeydew,7063.6,"['Eldrazi', 'Pot Of Greed']",29,True,7200.0,0.29
JJnok,7055.22,"['Island in the Winter Sun', 'Conquerors of the Island in the Sun', 'Slugcats']",73,True,8000.0,0.73
DH. Jukester,7053.41,"['Golf Monday?', 'Coked up (cute) Kobolds', 'I am > I was', 'Nat 20', 'Bubble Team', 'Digital Habitat', '10toes', 'Jukes Angels']",73,True,7300.0,0.73
mr worldwide,7050.03,"['Coked up (cute) Kobolds', 'Jukes Angels', 'Digital Habitat']",45,True,7300.0,0.45
Pony,7049.83,"['Scion and the 4 plebs', 'Go play offlane']",37,True,6500.0,0.37
LFT Next AD2L Szn,7041.24,"['Ensō', 'Bubble Team', '2FrogsSoftware', 'Gucci Coffin', 'GRIN Rat Society', 'Slow Twitch Muscle Fibers', 'GRIN Fury']",83,True,7200.0,0.83
UnrulyBear,7040.93,"['good for ducks, good for me']",23,True,6500.0,0.23
cookies,7040.29,"[""'Nanner Grippers"", 'Ensō', 'Go play offlane', ""Daddy's ENGORGED Dictatorship"", 'Savage Spirits']",37,True,7200.0,0.37
frost,7038.41,"['PSGS', 'Bubble Team', 'Plinks of Golf?', 'Golf Thirstday?', 'Savage Spirits']",72,True,7200.0,0.72
✪Alareiks✪,7037.64,['sheeesh'],20,True,7200.0,0.2
SSC,7036.69,"['Gucci Coffin', 'PRESTIGE WORLDWIDE', ""Harambe's Homies""]",20,True,7100.0,0.2
Nigerian White,7026.59,['Zealous Gaming'],36,True,7300.0,0.36
Dragoness,7026.22,"['Dually Truck Hentai Warriors', 'Rats and Bunnies', 'mosin on valley']",32,True,7100.0,0.32
butthealth,7017.13,"['Dark Horse Storm', ""'Nanner Grippers"", 'Rats and Bunnies', 'Nameless', 'OTF', 'SMD9813', 'Waist of Golf?', ""Daddy's ENGORGED Dictatorship"", 'Savage Sabers', 'GRIN Smoke']",125,True,7600.0,1.0
cartographer,7015.99,"['Coked up (cute) Kobolds', 'Average Krill Eaters', 'Los Animales de Golf?', 'Does This Game have Fall Damage?', 'Digital Habitat', 'Team Krill Eater', 'Go play offlane', 'Calamity Crew']",96,True,7300.0,0.96
Tempest嵐,6993.79,['Calamity Crew'],47,True,8000.0,0.47
GeeR3,6993.49,"['Dually Truck Hentai Warriors', 'PSGS', 'Pot Of Greed']",51,True,7100.0,0.51
ReVamp,6983.99,"['Savage Saints', 'GRIN Prism', 'Pizzadog.JV', 'Dota Under the Influence', 'Dumpster Fire', 'Idiots', 'GRIN Scythe', 'Savage Spirits']",89,True,7100.0,0.89
ClowD,6967.64,"['Simple Chemistry', 'Slow Twitch Muscle Fibers', '7dark Thirty', 'Rod of a Toast']",76,True,7200.0,0.76
IPwnedAIDS,6961.67,"['Dark Horse Storm', 'Rodents and Hares Pest Control', 'Rats and Bunnies', 'Simple Chemistry', '7dark Thirty', 'Slow Twitch Muscle Fibers', 'Dark Horse Vitality', 'Rod of a Toast', 'GRIN Smoke']",96,True,7100.0,0.96
AZ,6960.31,"['animal enclosure', 'Rats and Bunnies', ""Harambe's Homies"", 'PSGS', 'Gucci Coffin', '4 NOOBS 1 TROLLBUS', 'GRIN Scythe']",59,True,7300.0,0.59
Daddy Odin,6960.02,"['Savage Saints', 'Rats and Bunnies', 'Conquerors of the Island in the Sun', 'Ensō', 'Island in the Winter Sun', 'Baja Blasters', 'The Rejects', 'Calamity Crew']",89,True,7500.0,0.89
1 last time,6959.12,"['Coked up (cute) Kobolds', 'I am > I was', 'OTF', 'Team Krill Eater', '10toes', 'GRIN Scythe', 'Rod of a Toast']",66,True,7300.0,0.66
MyM.Slayer,6946.17,"['Simple Chemistry', 'Slow Twitch Muscle Fibers', '7dark Thirty', 'Rod of a Toast']",83,True,6500.0,0.83
twubz,6931.42,['Merrill Howard Kalin Fan Club'],39,True,7300.0,0.39
Forgotten,6927.52,"['Pot Of Greed', 'PSGS', 'Eldrazi', 'Savage Spirits']",60,False,6372.222222222223,0.6
lostperson,6924.57,"['Merrill Howard Kalin Fan Club', ""'Nanner Grippers"", 'Team Ligma']",39,True,7500.0,0.39
GNX,6923.72,"['OTF', 'Team Samsara', 'Rod of a Toast', 'Team Ligma']",72,True,8000.0,0.72
malibu,6923.37,"['animal enclosure', 'Honey Beesports', 'Team Samsara', '2FrogsSoftware', 'GRIN Fury']",53,True,8000.0,0.53
Marine,6921.96,"['OTF', 'Team Ligma']",22,True,7300.0,0.22
(BP)Bluntman(Chronic),6896.47,"['OTF', 'Team Samsara']",28,True,7400.0,0.28
